response,context,context/0,context/1,context/2,context/3,context/4,context/5
U ponning hse meeting,Nxt time la So little,Lols she aggro ar,Can t le I at orchard le,Good Orchard road asking for donations,How s mummy now,Lols she nvr come la,Hahas BTW I jus realised its DECIMAL ps
No la got run car in the morning n afternoon at night going tocousin wedding and I don t like ubin,Haha whatever it is its still stupid to ask us in the assignment The last part of the assignment always ask personal qns but dontexpect a real personal ans,Its stupid when u ask this qns in a jap laj class to asingaporean student in the class,Yea better not update later become non genuine again,Thats just stupid if u ask in the context of a jap lesson So muchabt being a context language,means did i study jap in my country Or did Istudy japan s jap,Wanna eat dinner at west coast,I ve just reached
Hiya low batt your bus trip sounds kinda interesting is it a single event or wat,haha U wana cut hair Wawa doin her hair there,ve got drivin lesson Cant make it,Pick me up at Same place car park there,No more stairs liao Its bad for your knees so stoppin is quite good Wat homework r u rushing 1pm flight Ok Mayb i go snatch josssticks U know,im sleepin jus woke up vry sian oso wad r u doin now,U lookin june huh Came back muz pia drivin oredi Cos miss wks later rusty,game for a drink later
ID KP Monday after 5pm sat night or sunday preferred Rate per hr negotiable,Go to walk there isit Take ur time a bit hor,U wanna get a nice drink at starbucks or coffeebean at west coastlater Suddenly got craving for it,Tml korean bbq u know right If nothing go wrong,No la got run car in the morning n afternoon at night going tocousin wedding and I don t like ubin,Haha whatever it is its still stupid to ask us in the assignment The last part of the assignment always ask personal qns but dontexpect a real personal ans,Its stupid when u ask this qns in a jap laj class to asingaporean student in the class,Yea better not update later become non genuine again
ate at liao i did of my proj le but later still gotta go online to discuss something wf my grp members haiz u ah at nite le still daydream hahah,s doggie Have u seen him yet Bring him out walk walk lo,Hey Posting out on net today oredi Check ya Good luck,zepol hi care chat wif me intro,i noe wat u mean,Joey Ryan pg is where leh,stats soc we will b holding our camp fr 2nd to 4th jul sentosa head meeting place is nus forum pls reply to this msg Thanx,Nope Will b bz packin my luggage Goin aust hols
Woot okie then got pm de but so late u still wanna watch If notthen another day le lol,Hmmm tml got DECIMAL de slot u tink we can make it,Tml I shall do after marketing Destresssssssss haha,Yeap lol I reach home also play game lol so sad cannot do my tutfirst haizzzzzz,Wa really got the second last bus so lucky,Lol poor thing T T dun jog so much lah so skinny le lol I bopian must keep the tummy for u,Ya lo then I treat u won t xing teng mah lol since when u not feellazy one p haha cos all want to build their muscle mah lol,Sob sob sob free movie dun like T T hmmm nope I shall go buythe peanut pancake Haha wa so good then nobody Kope He treadmillfrom u lol
There is a guardian outside that mrt some days ago ther is promotion of facial mask,At the bus stop outside hall four,Ok So now Which canteen do you prefer,Not yet soon le What for,Ya arrived already hehe,Hi you done waiting for u two leh,I gonna be late by half an hr,U come this aft What time
Haha but why must change I dun get it,Omg I just woke up what the O hahaha I dunno change to which Ok youhelp me change D I changed my pw to March D,Haha sorry mr Yee Got birthday celebration,Yeap haha Omg I just reached home,Yeap i m back liao,Watching movie reply you later,Yo I m going to walk around the place with timo ryan Chester weiren raghav and many other people D,Haha really nice Good D hahaha why dun want So fun
Yo yo Drink up more alright Come np visit us when you are bored at home,Hahah yup im going slow when reaching humps hahaha,No scratch Perfect condition D,Haha im walking towards your car le D,Yuppp you all eating eh,Can can no problem D,Call me when you reached,Haha yup Then pass me receipt Can claim
then i end of year then see u liao la haha so btw wat u doing now,We saw fiona xie at taka Haha,Dont get angry with me i jus 2 make frd with you,Sorry forget tell u Think dont wan u all go ahead,Hee Me free so any day go also can U ask shuhui Or can go cut hair or take photo also,HEY DAS COOL I KNOW ALL WELL DA PERIL OF STUDENT FINANCIAL CRISIS SPK U L8R,Okay call us when reach My drivin is at tmr have lessons Or only one,U forgot to gif millian his dog bone Later his tooth ache
Just settle down after they come back from airport Bought lot of things One trolley there den trolleys back,Took lot of phots too,I bathe before i went to e airport Now doing tut U leh,Yah Going for e tut at Den afternoon stay in school,Ok i shall no think of u Haha,Wat time u coming to school,U waiting for ur sis U eating luch wif me,Ok den i come look for u
I ask leo whether he free another first get back to u later,Hey lyn wanna play mahjong around plus but got to leave ataround am How ar Cancel,Around wad time u leaving and wad time u wan start,Erm but now got difficulty finding last player U wan play with jason,Sorry I on my way le,Hey can we meet at 4pm instead Paiseh,Hey can we meet at 4pm instead Paiseh,Haha I haven decided yet I meet u DECIMAL boonkeng mrt
aunty weihao s phone no batt he coming home frm cck alr,erm just went into lifter,yo today no more lesson isit,hee orh love my sweetiepie,hee reached home safe n sound enjoy ur time with ur parents everysecond spent wif u is so happyfying,where my yeiyei icoming towards sr1,wa u so late today i at nearer door btw,u still in lt why impressed dear want melon drink
Wts we swap phones haha,Do I have any message other then from myself,For pressing the lift twice,I owe u a rapping session,Tot phua cmi cca slot cus too late,Yea eating wif u all,When u all leaving I tot eat out,Nice smuggling so many ppl
at plaza sing Hahaha just zao when she s ard or sth Haha Iwon t get suffocated ah it s not like I want other guys to put theirarms ard me LOL Haha I m happy haha ooo okay then I m not gonnaconsider at all XD haha is it come come show example,Ohh btw you wanna watch real steel Later Hehe Chester coming,I dun know I m asking my bro who is still sleeping,Haha gaga is cool Very odd and interesting But Josephine is justweird haha I dunno Oh Chester put his arm ard me for a photo thenaft that he was like someone s gonna be angry o o that s why I saidI think he knows Hahaha why is it disturbing XD my pokes reallypainful oops I will uhh Consider D haha maybe one day a girlwanna get close to you leh Haha sometimes hints can be very subtleyou know,Eek I went to see it I look unglam Haha okay that sounds betterbro P chibi pain coz I m chibi Then when I hit not pain de Hahaand you better not let any girl get too close haha but actl idm ah as long as you don t leave D Ehh you shouldn t hint just tell meLOL I may not get your hint Haha you re scared of lady gaga orJosephine Morning,MY BRO ACCEPTED HAHAHA,FINE AHH THANK YOU HAHA I HAVE SEATS STILL,I M NOT DUDE lol hahaha both raghav and Chester said I look goodhaha I just received the tix one twice so only one of theoriginal sms got through Haha I won t ever be confused ok Hahaha soI hit that time not pain right only very chibi pain Haha shouldhave had lah The DJ guy very random haha ooo okay Lookingforward D if ppl jio you then uhh I dun know I ask some guy closeto me go jio them heh heh heh there ll be alot of things I will doto terrorize them I think x Ehh I dun want bet But I think dunhave Haha I bathed le I will tell you about it tmr haha yeahshe was Trying to dress up like lady gaga or sth GOODNIGHT Hug
Sure it s breakfast but can still help or I end sch at ifyou re free then,Hmmm free from to why,Hi guys since our project is due on march wanna do a quickmeet up next week say tues or thurs,Hi guys since our project is due on march wanna do a quickmeet up next week say tues or thurs,Hi guys since our project is due on march wanna do a quickmeet up next week say tues or thurs,Nice Thanks I ll check it out,Also the second topic seems easier now,Not done Just started Had no inspiration man ya it s tough sigh Jia you
Yeah And gave a sob story on why we couldnt find out,Yeah ttz what i wrote P,Ok Dar I seeing on phone,I love my girl too Now trying to download the file,LG on a2 Back le do for u Borrowing chem text book from my ta so noneed go library,Ok Need now I goin to sci for awhile den come print can,Yay just completed tax return Haha,Yeiyei on bus alr
Hi laura i ll be consolidating the unfinished tasks for IS Letme know what u ve yet to achieve ya,Hey i ll try to consolidate wat he wants If i m not wrong u releft with credits javascript validation GUI design and user ratingsfeature For the UI can u tell me how u want to do If u want i canmeet u tml or wed to finalized the UI,Thanks shuling Haha I ll update u asap I m doing coding now,Hey amy n li juan i ve suggested to meet 8am before class tml in theemail Just to inform u all,Hey amy n li juan i ve suggested to meet 8am before class tml in theemail Just to inform u all,I ve made a reservation at DECIMAL pm liao,I ve made a reservation at DECIMAL pm liao,I ve made a reservation at DECIMAL pm liao
Okay D do you have tall friend s number,Haha ps forgot to say venue It s at Singapore sports school,Haha ps forgot to say venue It s at Singapore sports school,Haha ps forgot to say venue It s at Singapore sports school,Haha ps forgot to say venue It s at Singapore sports school,Haha ps forgot to say venue It s at Singapore sports school,Haha ps forgot to say venue It s at Singapore sports school,Haha ps forgot to say venue It s at Singapore sports school
Eh can sign us up Yuquan say by Tmr le,We where got ppl,U tell him I no have his number le,As in still doing samc lo,Eh Joel and I continuing,Yea but if my exam period I cant,Think of a plan,ppl only He already asking me to do stuff le
ok see u in the lab then,r u coming to sch 2day need to ask u abt leh,ok loh mit then decide see ya later,t tot abt it leh wat do u wan to eat,hello there r u free for lunch 2day,I need to have my stats notes back When r u free to mit up,I need to have my stats notes back When r u free to mit up,Yep each will be paid
I think my mno test cui leh I wrote only like pages and theprof shoot me how i can squeeze everything within pages Haha,Hey later if u got go office do rmb to help me print resume okay Thanks,Btw i saw xiangyang when i went home just now He s damn damn cock remind me to tell u another day Haha,I forgot also Haha Okay,The paragraph one just write a short intro of the BoA accting sysinstead of mentioning its failure,Even paraphase need to cite As long as u got the idea u need tocite I mean the content and not the length actually I think it shldbe an intro to the system and not a summary of the problems Theproblems shld be written only in pt forms which u did,Another thing is u forgot to put in text citation Haha,In my humble opinion hor I think your summary for BoA is too long Ithink u just briefly talk abt what is masternet don t really likesummarize the case as in the problems etc Metalica one is fine so dosomething like that when u free bah I ve pasted them over to googledoc so u may want to amend there directly
Come out of your cluster,I am back in school already What do you wanna do,Tell me what do you feel like doing,Going back school now Think about what you wanna do We can go westcoast park if you want,Okay I am going back school Think about what you wanna do,I mean I understand why you are tired that s why I told you to take agood rest I am not forcing you to follow me to nuh,That s why I asked if you want to accompany me to NUH mah,Yeah here already No lah just wanna do my duty since I havent beendoing it for a long time and my mum have been asking me bout it Thenafterwards just head home lor
Dear ladies and gentlemen im organising a trip to ily at 6pm Tablesbooked already Im cabbing down so let me know if you are going withme or going alone,Dear ladies and gentlemen im organising a trip to ily at 6pm Tablesbooked already Im cabbing down so let me know if you are going withme or going alone,Dear ladies and gentlemen im organising a trip to ily at 6pm Tablesbooked already Im cabbing down so let me know if you are going withme or going alone,Dear ladies and gentlemen im organising a trip to ily at 6pm Tablesbooked already Im cabbing down so let me know if you are going withme or going alone,Dear ladies and gentlemen im organising a trip to ily at 6pm Tablesbooked already Im cabbing down so let me know if you are going withme or going alone,Dear ladies and gentlemen im organising a trip to ily at 6pm Tablesbooked already Im cabbing down so let me know if you are going withme or going alone,Dear ladies and gentlemen im organising a trip to ily at 6pm Tablesbooked already Im cabbing down so let me know if you are going withme or going alone,Dear ladies and gentlemen im organising a trip to ily at 6pm Tablesbooked already Im cabbing down so let me know if you are going withme or going alone
Hey Mr lim I have done the patch work on a3 size paper Do u have a3scanner to help me scan Thks,U draw on a3,Must it be squarish,Wts zai So Watchu doing now,Kayaking ended so fast,I always come this late wad Mayb jus do major grps lo,Bout U finished alr Wan gym today,Next time too late le Later ns u jialak After ns also uni ur lasttime to take sports Then u still procrastinate u no need learn le
Im going out for dinner later eh,Im still on bus more stops,Tmr after dinner free,Hahaha have you entered your dreamlands already lol,Lol ya ya Hahahaha they just havent unleash their potential untilrecently only,Haha my yan guang not bad leh ever since p5 till now XD,Awesome Lol arsenal is just good haha,Haha wow Against who
Oh forget it Sold out Haha,Haha we saying now go cathay watch the world invasion movie Haha u wanna come,Wa so hao mai arh lol sob sob sob at lest u got sushi jia liao Lol ba kut teh,I tot u mean interchange,Vat the hell coming,BTW I am at t1,T T my dearest dear sob sob sob how can u not see mua love for u,Okay np cya next week
Ohh Hahaha pcn I wanna cycle too But my bike is lousy,Haha if we make it someday we can spend forever together P but youreally dun think i m heavy ah Hahaha P I think if I did that toSpencer he ll push me off his laps immediately hahaha Dun miss thestop,OHH hahaha can also LOL need so many,Ohh it s back D teehee Second floor is so short,LOL I know but around it is also huge,Oh my the breeze really left sian,What how big is your house,Haha okay I sms wen D meet at in sch
I have no idea,Hahaha so he s wearing what you wore to prom Ehh why cannot,Lol on the way to hostel coz I m staying tonight My parents not freeto fetch me later hahaha P,Haha I also dun know leh honestly Later tonight I show you what hesaid Btw I m staying in hostel tonight Haha I still think I shouldsay sorry sorry,Hahaha Okay thank you,Yay okay LOL PRO MUM,Ohh ahh nvm My cluster outing hahaha we were looking for replacements hahaha,Ohh haha Okay thanks but tenghiang will be joining us for dinner
Ok so the first break then,Hey do u wan to meet LCS in 1st or 2nd break,Hey do u wan to meet LCS in 1st or 2nd break,Hmm I dun tink can make it Ps,Ya lols At first I shamed him,Lols I can t see u,Hey Wads ur point of comparison,BTW ur math ass 5c i wrong I tink
Kk Joel say can go his hse,Hey 2moro meet where,He dun intend to break in the first place,Gg Liao Zack enter,Wth Yuxiang got talk to him Zzz Joel dam cui le,Du lan le U got psycho,Hi day want send u this Hope is not early gether with my family i want wish Have a blessed lunar new year enjoy your long break D,Bff not my fault rite much
Haha I saw the one the duck follow the human all over the place de,Haha I dun really care le Yup ace LOL you walked past Slaphahahahaha my fringe really to long I gave up on one question haha ohwell Sleep until v shiok,Haha yeah haha yay Um i m the chaperone so I just take peopledown to vote,Kong bak pao Kourou bao in chinese I think Haha wow damn nice Ican leave early if I finish fast yay then report for my duty for SCx x,Haha yeah its my second fav pao P,Haha okay P I eat le Oh no growing fat,Haha hmm do you want it If you want then I pass back to you,Haha thanks you shouldn t have
meet u at at mrt station control,Hee Sent the direct link so you can take a look,do u have white tube i need it for video shooting,Ok no prob have a great weekend,wanna meet on saturday for dinner after tat can go zoukout if u all wan,Oh i sent you the url liao yesterday,hey we are meeting at airport terminal one to send xiang mei off,i will come at four later
Ay abit later two wad time is e show Two got show,Ok lar aiyo haha btw u but short hair already or not pretty girl haha,Dunno how to play other things wat Anyway we not playin oredi,FON hi female or male there,Da help desk pple email me n cc my sup say dat cgi not supported on e acct i applied So i guess da sup surely thk i v stupid So wat u doing,t get thru his handphone thks,m really not sure how to make my rules more complex leh,Or when u send u msg me Thought of going tomw early aft noon Hee like a bit kiasu like t
LOL how u intend to win those ah tiong but u nv go lecture is normal wat,Wahahaha is my power fone can display twitter lol u take wat ah tiong mod sia lol,Write wat Chinese essay lol,Woot if u wan t shirts from threadless u can msg xinrou first lol Cui late sales start liao sia,Its DECIMAL or source,Lol ok lo buy ba,Eh we outside hall,Lol oh no but I dunno how to export LOL but the one we submitted not almost the same as newDump meh
Wow U got cake Need,Hmmm yh going room aft he bathe I go now,Ps Kk go slp le nite,Tell u wat U 2nite chiong plus 2moro morning den aft tt come,Nooooooo At least come for the bbq at 3pm la We buying him a paddletts but he paying,2moro going Joel hse,Test on whole of chapter,Ok Ur ez link wif me
Reach home le Lol just now on bus super urgent need toilet lo drink too much water le lol,Totally gg I have to read up on that whole chapter cos I ponlecture lol wow that is a lot hmmm then I shall wait fortutorial discussion tml le I got line sia,Omg discrete math assignment due next Monday,I mean the question lol,Haha ya lo tml go see lo anyway u got modify the code I dincut the instruction by a lot,Haha I now then walking over ya cya at library,Lol u write out first then we see how many tmp u use I use around I tink,Lol okie I go find u
Hahaha oh well actually got extra tickets de lol,Hahaha so that s good news right,Haha I dont know by when I need to give them the numbers so you stillgot time,Hahaha not for new passports You collected yours already,Hey people please text me your passport number will do no scans needed,Hey people please text me your passport number will do no scans needed,Hey people please text me your passport number will do no scans needed,Hey people please text me your passport number will do no scans needed
Woo but I have dinner with my poly friends eh Maybe I find you allduring night time,But he s out,Nope im going out,Sorry I got dinner le,We wil reachin mins Im so sorry,Yeah and I didnt know she can only play until pm,No idea im not at home Roy should ne at home,Cab fee on you eh
Good Orchard road asking for donations,How s mummy now,Lols she nvr come la,Hahas BTW I jus realised its DECIMAL ps,I jus left Now on bus le Kk ttyl,At home eating lols,Hey weining is there a 2nd slot for the cip 2moro,Nabei so close ur hse still late
Oh Hope can find a short course Holiday also quite short jus learnbasics nxt hol learn agn,Nid le And fixed timing too U wan go communuty centre learn ar,Watch got a lot tutorials wat Jus need a place to train,Can t want YouTube and learn meh,Hols I wanna train learn volleyball Rem last time we say wannalearn windmill,Dun Emo Nxt time then train,Can t nid celebrate grandma bday lols,Nop Only Friday den nid go back
Oh Ok dun hav to apologise its not ur fault,Eh I throw away da hamster ar Got ants coming,Reminder presentation at 9am S17 SR4,i dunno later at go online my fren say mins can liao at bout lor,Sms me when u are ready,Where u all eating breakfast,Hi Li En here This is my new hp number pls note,I come look for u all first My frens not here yet
HAPPY NEW YEAR PULL YOUR EAR XD May be loads of fun andlaughter HAPPY HAPPY TWO ZERO ONE ONE,Ouch Happy too All the best for the new year,Thanks same to you too happy All the best for the new year,I d prefer money to fall from the sky though,I love you too Happy Hope you get a fresh start,Ahha you too drunken pig all the best for your mcs,Lol no choice leh gonna be in camp during round better be safe first lor,Wa he taking also Thought he gonna take that lame lsm module Ibidding got so many points anyway lol
Happy birthday and happy valentine s day,Haha wow so eh Can I request my koi to be treated tmr D,Lol Still got supp class de ah Hahahaha,Hahahaha oh well tmr im ending 3pm lehhh,Hahaha no plans on twitterr,Sis Are you coming later,Haha considered bah Let me know when you are coming over,Yup see you then Btw I need the forms
Hey hey we meeting tmr pm at kismis np blk Please bethere for loft registration,Hey hey we meeting tmr pm at kismis np blk Please bethere for loft registration,Hey hey we meeting tmr pm at kismis np blk Please bethere for loft registration,Hey hey we meeting tmr pm at kismis np blk Please bethere for loft registration,Hey hey we meeting tmr pm at kismis np blk Please bethere for loft registration,Ahhh I not free eh,Yup tmr pm at kismis,Hmmmmmmm get something to represent eh
Quite wat Last time always tok to u one Only now seldom liao mah,s quite me U dun find it accurate meh,Which poly she goin to But u stayin in hostel so half e time u will b so far away mah Haha wana c how her bf look lk,Hmmm Thk d lor biscuit Although i dunno wat kind of biscuit is tt Never hear b4,Hey den u stayin in hostel ah Hiyo will c u even less liao,Wow Joan goin w her bf her parents allow so gd ah Haiz so sad cant c her pigs,m not goin any camps My faculty camp oso over liao U goin wat camp,m quite free these days la u arrange e meetin day lor
Ok can so tml at 7pm,Free slots time indicated is when I can reached tutee house Mondaywhole day Thursday 4pm and onwards Friday 7pm and onwards Satmorning to pm Sunday 2pm and onwards,Hi alan about assignment A which starts on aug pm I m having difficulty because my school timetable is just out and Ihave lesson at pm every Friday Kindly call me when you are freeso we can discuss about it,So need me to go back,Don t forget ns notification and make sure passport not expired,Ok I wont be free on sunday as I will be out of singapore,Reply ok if u receive my last sms abt the trip,am changi village sunday Change about sgd to rm Bring 2x9sgd in change to pay boat trip to and fro
Should be know Hehe,Kk u rest first then later see still tired anot then see whether u wanna go,Can confirm with u before 6pm Cause might got something on Paiseh,U watching the movie tonight,Hey after 5pm free Wanna play mahjong,Hey after 5pm free Wanna play mahjong,Ok Going with u,Lol waste my bus fare
Fri got a mins survey leh I signed up for e 2pm slot le Check your email,I haven t do leh I ll try it out tml afternoon bah Any prob i lllet u all know asap,Haha Chey only one or two times ar Maybe he expected u to replythank u bah Haha,That s why i told him the earlier we see each other the better Don t drag liao But he s quite persistence with e fb n sms issue Sowell i ve no comments Haha Let it be loh,I wear so nice play soccer meh Haha Don t know leh he said seefirst Nvm lah don t bother abt him,Okay loh Can Haha Eat le exercise,I m fine with either options what do u suggest,I was just joking lah Really paiseh becoz i don t know what ureplied mah Okay next time need my help Feel free to ask me loh Hmm So this time round i think i can t help to submit the ppt leleh If have to submit u submit can
Haha no la later eat korean bbq no,ID KP Monday after 5pm sat night or sunday preferred Rate per hr negotiable,Go to walk there isit Take ur time a bit hor,U wanna get a nice drink at starbucks or coffeebean at west coastlater Suddenly got craving for it,Tml korean bbq u know right If nothing go wrong,No la got run car in the morning n afternoon at night going tocousin wedding and I don t like ubin,Haha whatever it is its still stupid to ask us in the assignment The last part of the assignment always ask personal qns but dontexpect a real personal ans,Its stupid when u ask this qns in a jap laj class to asingaporean student in the class
Same here tks intro frm u k,anyway i dun think i hav told u a lot of things also,Wats ur hp no Mimi,s bringing her bf rite,No it was cancelled yeah baby Well that sounds important so i understand my darlin give me a ring later on this fone love Kate,t speak so hope tis nite shall b nice and sweet Good Nite,Wah he so ti3 tie1 Hee,May i know that who r u
Hee Muacks I just woke up Go sleep dear Nite nite Tight hugs,Hmm U reaching soon,DECIMAL go back still gt train,Ya want meet where later,No u where now,Laogong I love you Oh ya forgot to tell u Edmund they all missed u haha,Haha ya I till ten Okok Call me when u end,Haaha Today u what time
I dont know eh I think it s too late to wait for next week Can godown on thursday or friday,Eh ya lol He jc leh,Umm by the end of this week if no replies gotta go down le,Haha oh ya Sorry about that didnt manage to squeeze into last year,Let me know if that s the case Then I will talk to him,Lol umm same thing lo Forms and cash,Haha before or latest 7th feb if possible,Haha means I need the forms and the money
Aunty how was ur day weihao just left my house coming home now,Another shirt tys sending u now,Did u receive my mms,Got it Thanks for the remimder,Happiness to me is to have my baobao Hee Xoxo,Good good ok la not super busy think I Sunday then can come Satgg temple with family then celebrating my friend s bday,Haha Got drink water and eat Med or not,Just ate some apples Watching TV now u
Ur pc cluster too many ppl i go upstairs one see u later for the tut,Hey where r we on megaupload with ppl eugene and wee ann ok with it,Really how u noe one,Wat is the restuarant name,Research more on animal fats fischer process and talk about maturity,Pc cluster hard to discuss i dun noe got space or not can gotry i outside dl liao,Where can we meet later ar i need to use laptop cos i onlyuploaded my softcopy into ivle workbin if not then ask alvin andjaime to present their work in hardcopy then no need uselaptop computer liao how,Rmb read the actual qn given by prof again b4 u dive into theresearch dun research wrong area ar
Wth U handed in,Coa s article is on the entire thing or jus my presentation part,Alright U organise la,Emooooooo Hmm sentosa ur 2nd home,U mean Lols other subjects no hmwk,Hey wad hmwk do we have,Hey wad hmwk do we have,I can t Asked fren to come study le
Yee koo ma called to let u know she found mama s bank book under oneof her beds U must have dropped it there,Lol I didn t even bother,min I think This chanting thing is madness,Ha Ok lor But sometimes there are like great disconnects betweentheir philosophy and practise which I find hypocritical so need achange of environment,Ya Need a change of environment ma Plus this church is really badlymanaged la HAHA U dun like their ppt I dun like their sound system,They nv configure properly I used the same Mic to rec the songs forgospel rally Going next year la I going to scout lor Maybe Wesley Methodist Haha,Haha U tell him lor No la I m changing church after I grad So wanna leave in peace haha,No la I didn t do Must be uncle tk I think Can see the distinctive style I retire already la Not going to be involved Ya look like
Still love ur koi right lol Haha Li hai pay then say lol yummynoodles place Where is it I am so full T T fat fat le lol,Haha today got yummy potato My granny cook it in shreds one lol,Haha wa I say wanna try in the end u try first lol next time I gotry the colour pearl de lol haha got arh love u so much lolthen the auntie sway lol,Tink of food make me hungry le lol wahahaha the short part is sorandom mix blood mah haha I dating foreigner sia Lol but the lastpart must be driving ur sis mad lol,Haha also yummy arh yes spaghetti Wahahaha Nomnomnom Ya Lobut still sleepy Must be chuan ran by u haizzzzzz let me guessis it a short,Yes mdm Hope today got yummy dinner lol I slept hour stillvery tired lo lol haha then wat is the one thing scarly it cost lol,Haha thanks Finish le Shld be ok haha won t die too badly,Haha true or wasted haha rain also stop le I reaching school soon
Haha i went out to eat lunch then going to get my bro a backpack Ohh yeah dun need lend le my parents decided to buy one coz he mightuse long term Thanks anyway my bro using my phone to playminecraft _,Haha ok ps I typed wrongly It s supposed to be,Hi ppl sorry I typed wrongly It s noon at amk mrt we can havelunch at a prata shop near timo s house Rmb to reply,Hi ppl sorry I typed wrongly It s noon at amk mrt we can havelunch at a prata shop near timo s house Rmb to reply,Hi ppl sorry I typed wrongly It s noon at amk mrt we can havelunch at a prata shop near timo s house Rmb to reply,Hi ppl sorry I typed wrongly It s noon at amk mrt we can havelunch at a prata shop near timo s house Rmb to reply,Hi ppl sorry I typed wrongly It s noon at amk mrt we can havelunch at a prata shop near timo s house Rmb to reply,Hi ppl sorry I typed wrongly It s noon at amk mrt we can havelunch at a prata shop near timo s house Rmb to reply
LOL oops I was trying to warn you Haha,Haha stop shopping already Later you will make your way to the ringshop again,Haha I see Faster come online help me do assignment leh lol,Wah so good lol Did he like use that to bao your red packet Lol,HAHAHA wow you paid for some quality stuff That s good mah lol,Okay See you at bendemeer,Haha what if his friend is not with him,Im at level now I scared later he walk pass me I also cant recognise
Lg reach le mug,Hahha Good idea i shd hv Towel Ding ding,Bblp can see bblg in min Hee,Hee Seating and thinking of my girl,Hee ok dear Its wonderful to have u sweety,Yay China boy happy,Heeeee Laogong also my yeiyei le must report also Lub lub u,Sweeeety On bus to north point le
Glad to hear so u knw wat happen to me rite,ok lar if u want i share tat one lor pouch i keep myself,Haha Where got so fast lose weight thk muz go a month den got effect Gee later we go aust put bk e weight,t go haha Cz i got something on sat I told cindy already,t send u home On second tots betta not Wasted Oh N erm Not tellin,Y not going to sentosa tmr,Hey ger free tomorrow wana cheong,s tue noe Okie la Cant wait nxt wk haha cos last wk of work
Gd lor ur purpose is to test e card n not talk to me Hee Just now i saw ur call i was so excited But when e call cut i was even depress,I fetch what time,t u using digi Email afiza1977 yahoo com,Okay Where we meet,Im quite happy in army nowadays Quite slack n lots of activities like the bowling comp next sat Hee hee put on weight liao Muz be enjoying the good life p,Ay all wana go gay club instead at clarke quay,Its somethin like bysi or mphosis rite Ok mayb if i put it this way R u on e fone,Called Most do not do air con repair Will ask around
Will you be free on sunday night I just met sebastian We suggest a small class gathering at the studio Play cards gamble a bit Chit chat Blah Blah Hope you guys can make it,will u b able to help me with sorting tml anytime from 2pm it will be at s15 lvl benches near lift and will take ard 45 mins Loo Geok,Sis where are you Can you call me,Yo Reminder and also some slight changes Lets meet at sheares hall lobby Tmr,Can loh i dun mind wed to rite,I need to confirm with you guys regarding the small class gathering at my studio at 6pm on sunday let me know if you guys are coming please reply asap,Got a car park at hong lim park Its at 6pm,gong xi fa cai hong bao na lai call me when u get home
It s okay Haha,Hey most probably we ll end b4 dinner time bah,Hey do u all want to have lunch together tml Got one not bad curryrice at tiong bahru Haha Kopitiam one,Hey do u all want to have lunch together tml Got one not bad curryrice at tiong bahru Haha Kopitiam one,I m in tut,I m in tut,I m in tut,I m in tut
OH RITE WELL IM WITH MY BEST MATE PETE WHO I WENT OUT WITH A WEEK NOW WERE 2GEVA AGAIN ITS BEEN LONGER THAN A WEEK,Serious Haha Hey so cool,How r u 2day R u keen in art n music,Okay Then can you give me a call at In case i over sleep,Thk so la Wat time u finish,In case the line got jammed up later i wish u a happy new yr hope all gd tings will go ur way take care,No movies for me We dine out cn liao,d like very much b ur fren Can u give me ur tel no pls call me ok TQ
Hmm haha fine now not too bad I will send it for servicing againsometime soon Haha buy dress for etiquette dinner _,THAT DOES NOT WORK,Hahaha ok ok Ehh They changed the motherboard so I assume they didthat too,What hahahaha shall just rely on chester s opinion hahaha Yeah D mymum always turns it off in the morning,What just Haha cool But I think they are weird P haha yes coz mymum turned the aircon off so it was hot Hahaha I did one qn,Orh My phone says take bus from paya lebar But my mum says that slike during her time LOL dunno about now,Right So you wanna go there Oh my mum says bedok o o,Haha yeah going out in like mins Guess can do a little bit ofwork plus bathe P this morning was hot D haha go more then get usedto it bah XD go sleep Why are you not sleeping now anyway
Haha bye Talking to you tonight I thought Haha actl I only justwanted to hug you longer haha I like it when we chat at night haha Pgo home safe My grandma has got me supper Hahaha And explain,Omg sorry sorry Help me tell weitieng x x okay yeah I rmb that,Yo I m not going night training tonight very lazy P going home bymyself,GAN I FORGOT TONIGHT GOT TRAINING I m outsidenow I dun think I can make it in time SORRY,I want my specs back Haha ohh no both of then opened your msg,LOL COZ I WAS WAITING FOR THE TOILET D why See doctor I got flu,I just got your msg LOL,Pig i m sick
Ah I also want to watch Sigh But i watching last samurai on monday already,Thanks You went bangkok Got buy anything for me Hee hee Today you no school,m in town oredi So Wat time u wan meet,Ok xy is coming wif us Then staying until night time izzit,finish ur exercise oredi ar Wat all having for dinner,Which part of msia r u frm,She stalk my father 1yr le Police oso no use He go ur hse Y so bian tai de,Hi hw s evy1 care chat any1
Morning pal Ten Anymore i got nothing to do the next day Then we go walk walk first b4 the show,xy Its ok But i do intend to watch it w u all hahha I prefer 11pm show cos need to eat dinner at home but depends if u all can take it lah,One mah Three hours You got something on the next day morning If have then eight loh,xy Yah lah yah lah watching w u all lah but hope i didnt misunderstand t u all r watching LOTR hor So her present buy already,xy Later i might be going suntec or orchard u wan go or not,xy Should be lor need to buy the christmas present haiz,xy Duno later c how Buy vcd also duno wat movie to buy,m not free at night Any objections
